epoch,train_loss,val_loss,lr
1,0.142587,0.164296,7.50e-05
2,0.146880,0.155907,6.55e-05
3,0.151712,0.156614,5.52e-05
4,0.152485,0.156994,4.48e-05
5,0.146889,0.142416,3.45e-05
6,0.157315,0.158533,2.50e-05
7,0.137063,0.146859,1.65e-05
8,0.142561,0.124425,9.55e-06
9,0.143758,0.146536,4.32e-06
10,0.129190,0.156176,1.09e-06
11,0.145664,0.160332,0.00e+00
12,0.144774,0.164052,1.09e-06
13,0.145838,0.162526,4.32e-06
14,0.148645,0.133327,9.55e-06
15,0.136718,0.144736,1.65e-05
